province_code,province_code_short,province_code_long,province_shortname,province_name
01,100,100000,BJ,北京
10,250,210000,JS,江苏
21,771,530000,GX,广西
15,531,250000,SD,山东
09,210,200000,SH,上海
12,551,230000,AH,安徽
25,871,650000,YN,云南
05,471,010000,NM,内蒙古
02,220,300000,TJ,天津
11,571,310000,ZJ,浙江
27,931,730000,GS,甘肃
16,371,450000,HA,河南
22,230,400000,CQ,重庆
14,791,330000,JX,江西
30,991,830000,XJ,新疆
06,240,110000,LN,辽宁
26,290,710000,SN,陕西
17,270,430000,HB,湖北
29,951,750000,NX,宁夏
07,431,130000,JL,吉林
24,851,550000,GZ,贵州
19,200,510000,GD,广东
31,891,850000,XZ,西藏
03,311,050000,HE,河北
20,898,570000,HI,海南
23,280,610000,SC,四川
28,971,810000,QH,青海
08,451,150000,HL,黑龙江
,,,TW,台湾
18,731,410000,HN,湖南
04,351,030000,SX,山西
13,591,350000,FJ,福建
